File Name: blom.rle, No. Iterations: 100,,,
Grid size,Name,Global Time (ms),Times per 10 Iterations,Memory Usage before and after (MB)
128,Naive,269,"[25, 25, 26, 25, 27, 27, 26, 26, 26, 31]","[516888, 517204]"
128,Sparse,22,"[0, 1, 1, 2, 2, 2, 2, 2, 3, 2]","[517488, 517716]"
128,Optimized,209,"[21, 20, 21, 21, 21, 20, 20, 21, 20, 21]","[517928, 518000]"
128,TrackAliveCells,17,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[518080, 518216]"
128,Parallel,137,"[16, 19, 17, 15, 13, 15, 14, 11, 10, 1]","[518272, 518492]"
128,HashParallel,319,"[24, 31, 31, 34, 32, 33, 34, 36, 33, 26]","[518552, 519312]"
128,Bitwise,280,"[27, 27, 25, 26, 26, 27, 27, 31, 29, 30]","[519384, 519432]"
128,Hashlife,304,"[40, 28, 28, 29, 29, 30, 29, 29, 29, 29]","[519452, 532440]"
256,Naive,1104,"[105, 108, 115, 106, 123, 102, 107, 114, 107, 111]","[532460, 532488]"
256,Sparse,21,"[0, 1, 1, 2, 2, 2, 2, 3, 2, 2]","[532596, 532620]"
256,Optimized,906,"[85, 86, 90, 91, 90, 87, 91, 95, 93, 95]","[532724, 532828]"
256,TrackAliveCells,70,"[6, 7, 7, 6, 7, 7, 7, 6, 7, 6]","[532840, 532856]"
256,Parallel,104,"[22, 5, 2, 17, 10, 9, 15, 2, 13, 4]","[532864, 532876]"
256,HashParallel,337,"[18, 28, 30, 42, 38, 39, 39, 43, 30, 26]","[532892, 533040]"
256,Bitwise,1115,"[109, 105, 109, 111, 111, 105, 110, 129, 113, 110]","[533060, 533068]"
256,Hashlife,1361,"[174, 128, 128, 135, 131, 132, 131, 134, 132, 131]","[533076, 578600]"
